student,week,server_ts,event_type,question_id,level,isEscalation,msSinceCreated,visibleMs,visibleAtDelivery,msToReturn,reason,overlapRatio,editedLineDistance,msToResolution,msPresent,editsWhilePresent,fileName,msWithErrors,editsWhileErrors,diagnosticsSeen,diagnosticsAsked,exitCode,success,stage,triggerSurface,selectionLineCount,selectionCharCount,kind,code,retryAfterSeconds,from,to
S14,1,2030-03-05T07:07:33.110Z,level_reached,9a5dc38d-72ca-42a9-88c0-5f45f29ad988,2,1,6263,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:07:38.504Z,level_reached,9a5dc38d-72ca-42a9-88c0-5f45f29ad988,3,1,11657,,,,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:07:50.988Z,post_feedback_edit,9a5dc38d-72ca-42a9-88c0-5f45f29ad988,,,,,,,,0.8,1,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:07:54.133Z,returned_to_code,9a5dc38d-72ca-42a9-88c0-5f45f29ad988,3,,,,,15629,,,,,,,,,,,,,,,,,,,,,,
S14,1,2030-03-05T07:09:06.422Z,explanation_visibility,9a5dc38d-72ca-42a9-88c0-5f45f29ad988,,,,51891,1,,,,,,,,,,,,,,,,,,,,,,,
S02,1,2030-03-05T07:10:59.708Z,diagnostic_resolved,e88d54b2-877c-423e-ac72-0e7b1eaa06d0,,,,,,,,,,23028,37844,5,,,,,,,,,,,,,,,,
S02,1,2030-03-05T07:11:46.352Z,returned_to_code,e88d54b2-877c-423e-ac72-0e7b1eaa06d0,1,,,,,69672,,,,,,,,,,,,,,,,,,,,,,
S20,1,2030-03-05T07:13:01.507Z,level_reached,e5610f4b-79f0-4aef-81b7-29cb76d98dd8,2,1,10772,,,,,,,,,,,,,,,,,,,,,,,,,
S20,1,2030-03-05T07:13:45.062Z,level_reached,e5610f4b-79f0-4aef-81b7-29cb76d98dd8,3,1,54327,,,,,,,,,,,,,,,,,,,,,,,,,
S20,1,2030-03-05T07:13:50.591Z,diagnostic_resolved,e5610f4b-79f0-4aef-81b7-29cb76d98dd8,,,,,,,,,,59856,67330,6,,,,,,,,,,,,,,,,
S20,1,2030-03-05T07:13:55.475Z,returned_to_code,e5610f4b-79f0-4aef-81b7-29cb76d98dd8,3,,,,,10413,,,,,,,,,,,,,,,,,,,,,,
S17,1,2030-03-05T07:14:00.000Z,question_picker_abandoned,,,,,,,,,,,,,,,,,,,,,preset,selection_lightbulb,1,34,,,,,
