student,week,question_id,session_id,created_at,trigger_source,trigger_surface,question_type,error_source,error_code,error_severity,max_level_reached,cache_hit,helpful_rating,self_reported_outcome,post_confidence,help_latency_ms,edits_before_ask,recurring_error_count,recurring_concept_count,ms_since_previous_same_error,selection_line_count,selection_char_count,latency_ms,prompt_tokens,completion_tokens
S14,1,9a5dc38d-72ca-42a9-88c0-5f45f29ad988,b3ec8864-9a75-4c77-a92c-3137ff8f662f,2030-03-05T07:07:26.847Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,,error,3,0,,,,10943,0,0,0,,,,4396,1699,499
S02,1,e88d54b2-877c-423e-ac72-0e7b1eaa06d0,d9aafcb0-7040-4587-9283-56ae8a471175,2030-03-05T07:10:36.680Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,,,,14816,3,0,0,,,,4259,1585,510
S20,1,e5610f4b-79f0-4aef-81b7-29cb76d98dd8,70650cd3-71d4-457b-a881-2637edb9841d,2030-03-05T07:12:50.735Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,,,,7474,2,0,0,,,,3617,2106,524
S22,1,70570f4b-5598-43bf-aafe-8c0c6c4adc01,7d07ac12-d659-41b7-93f3-15377978599c,2030-03-05T07:14:32.337Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,,,maybe,11621,2,0,0,,,,4901,1752,541
S05,1,e0ba376a-75f8-4071-9b64-2f6e496265f4,ba2acabe-c8f5-481d-bcab-515948a1af2c,2030-03-05T07:14:56.179Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,0,0,-1,,maybe,11343,4,0,0,,,,5023,1790,756
S15,1,993bc35a-018e-4522-9102-bae1eb227ff5,da6396de-9847-4d19-95e8-8cf70f9c0821,2030-03-05T07:16:52.138Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,1,still_stuck,,62144,0,0,0,,,,7490,1575,512
S19,1,f1e30d84-94e8-4e20-8d57-c7c276557cbc,71363a61-aa65-4c85-8a32-eda929f41870,2030-03-05T07:17:11.605Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,1,,,120608,5,0,0,,,,4462,1706,566
S06,1,a9deeaba-6881-4bdb-ad7e-fad7a558cee4,7fb20184-f921-4f63-859d-d950756f057d,2030-03-05T07:17:27.734Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,,,,42141,1,0,0,,,,2921,1756,481
S07,1,97e18f7c-d224-4707-b1c9-1ad5283eda09,bf1fd4d2-b334-475c-9555-3cff275fda55,2030-03-05T07:19:03.326Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,,,maybe,28708,2,0,0,,,,6446,1549,465
S22,1,995deef6-0fd7-49ea-97cb-612fe845987e,7d07ac12-d659-41b7-93f3-15377978599c,2030-03-05T07:21:21.195Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,3,0,,,,70097,5,1,1,408858,,,3595,1874,594
