student,feedback_language,n_sessions,active_hours,active_days,questions,questions_per_hour,error_question_pct,hint_enough_pct,fix_pct,mean_edits_before_ask,median_help_latency_s,offers_taken_pct,fixed_unaided,fixed_unaided_per_hour,no_help_session_pct,error_gone_pct,median_visible_s,median_return_s,abandon_pct,copies,reopens,helpful_pct,solved_pct,confident_pct,large_pastes,left_vscode_per_hour,lines_added,failed_requests,cache_pct,pre_total,post_total,gain,tam_pu,tam_sn,tam_bi,tam_att,tam_au,PreQ1,PreQ2,PreQ3,PreQ4,PreQ5,PreQ6,PreQ7,PreQ8,PreQ9,PreQ10,PreQ11,PreQ12,PreQ13,PreQ14,PreQ15,PreQ16,PreQ17,PreQ18,PreQ19,PreQ20,PreQ21,PreQ22,PreQ23,PreQ24,PreQ25,PreQ26,PreQ27,PreQ28,PostQ1,PostQ2,PostQ3,PostQ4,PostQ5,PostQ6,PostQ7,PostQ8,PostQ9,PostQ10,PostQ11,PostQ12,PostQ13,PostQ14,PostQ15,PostQ16,PostQ17,PostQ18,PostQ19,PostQ20,PostQ21,PostQ22,PostQ23,PostQ24,PostQ25,PostQ26,PostQ27,PostQ28,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19
S01,2,13,12.93,13,22,1.7,50,90.91,9.09,3.3,44.91,22.92,40,3.09,15.38,72.73,43.49,22.29,9.09,0,2,73.33,85.71,100,5,5.42,818,0,4.55,17,19,2,3.6,3.33,4,4.5,4,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,3,4,4,4,3,3,3,4,3,5,4,4,5,4,4,5,4,3,5
S02,2,12,11.09,12,47,4.24,78.72,55.32,25.53,2.81,27.53,38.54,54,4.87,8.33,67.57,44.72,17.45,8.51,3,2,80,63.64,21.05,2,5.77,758,3,6.38,4,10,6,4.2,3.67,4.25,4.5,4.33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,5,4,4,4,4,3,4,4,5,4,4,4,4,5,5,4,5,4,4
S03,2,13,11.21,12,17,1.52,52.94,70.59,5.88,0.89,49.09,14.75,45,4.01,30.77,77.78,43.08,28.99,5.88,0,2,58.33,100,71.43,6,5.35,690,0,0,21,21,0,3.6,3,3.75,4,4,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,4,3,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4
S04,2,8,8.59,8,15,1.75,60,60,20,1.89,23.96,20.45,35,4.07,0,77.78,42.07,23.23,13.33,0,1,100,70,100,1,4.54,411,0,0,16,21,5,4.4,4.33,4.75,4,3.67,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,4,5,4,5,4,5,4,4,5,5,4,5,5,4,3,4,4,4,3
S05,2,15,13.79,12,61,4.42,75.41,59.02,27.87,1.59,30.97,50,55,3.99,6.67,73.91,57.28,19.05,9.84,2,4,82.14,76,12.5,0,4.13,861,1,6.56,17,20,3,4.6,3,4.25,4.25,4,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,4,5,5,4,5,3,3,3,5,4,4,4,3,5,4,5,5,3,4
S06,3,8,9.08,8,41,4.51,78.05,58.54,24.39,1.91,39.72,49.23,40,4.4,0,62.5,54.22,17.66,21.95,6,2,88.89,82.35,13.33,1,4.73,407,2,7.32,5,7,2,3.6,3,3.75,4.25,3.33,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,4,4,4,3,3,3,3,3,4,3,4,4,4,4,5,4,4,3,3
S07,1,11,11.65,11,37,3.17,59.46,59.46,27.03,2.82,26.9,32.84,52,4.46,18.18,86.36,52.38,23.92,8.11,5,1,90,91.3,7.14,2,4.72,791,3,8.11,12,19,7,3.6,3.33,3.5,3.5,4.33,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,4,4,3,4,3,3,4,3,3,4,3,4,4,3,3,4,5,4,4
S08,2,12,12.13,12,26,2.14,92.31,61.54,19.23,4.25,52.1,18.75,102,8.41,0,75,52.9,13.9,11.54,3,2,86.67,100,11.11,2,4.37,743,0,3.85,2,9,7,4.2,3.67,4,3.75,3.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,4,4,4,5,4,4,4,3,3,4,4,5,4,3,4,4,4,3,4
S09,2,18,12.98,18,26,2,61.54,84.62,15.38,2.19,37.53,20,71,5.47,27.78,81.25,42.95,13.86,0,1,1,78.57,83.33,0,0,4.16,923,2,7.69,6,13,7,4,3.67,3,3.25,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,4,3,5,4,4,3,4,4,3,3,3,3,4,3,3,3,5,3,4
S10,2,10,10.38,10,42,4.05,76.19,69.05,26.19,2.16,35.46,50.79,31,2.99,0,71.88,50.88,17.91,19.05,0,3,84,60,29.41,0,4.33,618,1,9.52,9,14,5,3.2,3,3.75,3.5,3.33,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,3,3,3,3,4,3,3,3,4,4,4,3,3,4,4,3,3,4,3
