variable,item_id,label_en,label_tr,label_es,category,category_en,kind,level,type,allowed_values,value_labels_en,value_labels_tr,value_labels_es,missing,source_table,source_column,formula_version,page
profiles_id,profiles.id,Student id (UUID),Öğrenci kimliği (UUID),Id del estudiante (UUID),technical,Technical fields,raw,column,uuid,Supabase Auth user id,,,,,profiles,id,,reference/profiles
profiles_username,profiles.username,Username,Kullanıcı adı,Nombre de usuario,accounts,Accounts and consent,raw,column,text,"3-32 characters, pattern ^[a-z0-9][a-z0-9._-]{2,31}$ (checked by the extension only); unique; cannot change",,,,,profiles,username,,research/linking
profiles_display_name,profiles.display_name,Display name,Görünen ad,Nombre visible,technical,Technical fields,raw,column,text,null,,,,NULL (empty cell),profiles,display_name,,reference/profiles
profiles_ui_language,profiles.ui_language,Interface language,Arayüz dili,Idioma de la interfaz,technical,Technical fields,raw,column,text,en | tr | es (always the default 'en'),en = English; tr = Turkish; es = Spanish,en = İngilizce; tr = Türkçe; es = İspanyolca,en = Inglés; tr = Turco; es = Español,,profiles,ui_language,,reference/profiles
profiles_feedback_language,profiles.feedback_language,Feedback language,Geri bildirim dili,Idioma de las explicaciones,accounts,Accounts and consent,raw,column,text,en | tr | es,en = English; tr = Turkish; es = Spanish,en = İngilizce; tr = Türkçe; es = İspanyolca,en = Inglés; tr = Turco; es = Español,,profiles,feedback_language,,data/accounts/feedback-language
profiles_first_login_at,profiles.first_login_at,First sign-in time,İlk giriş zamanı,Primer inicio de sesión,technical,Technical fields,raw,column,timestamptz,timestamp or null,,,,NULL (empty cell),profiles,first_login_at,,reference/profiles
profiles_consent_status,profiles.consent_status,Consent,Onay,Consentimiento,accounts,Accounts and consent,raw,column,text,pending | granted | declined,pending = Pending; granted = Granted; declined = Declined; withdrawn = Withdrawn,pending = Bekliyor; granted = Verildi; declined = Reddedildi; withdrawn = Geri çekildi,pending = Pendiente; granted = Otorgado; declined = Rechazado; withdrawn = Retirado,,profiles,consent_status,,data/accounts/consent-status
profiles_consent_at,profiles.consent_at,Consent time,Onay zamanı,Momento del consentimiento,accounts,Accounts and consent,raw,column,timestamptz,timestamp or null,,,,NULL (empty cell),profiles,consent_at,,data/accounts/consent-status
profiles_created_at,profiles.created_at,Account created (joined),Hesap oluşturuldu (katıldı),Cuenta creada (alta),technical,Technical fields,raw,column,timestamptz,timestamp,,,,,profiles,created_at,,reference/profiles
profiles_updated_at,profiles.updated_at,Profile updated,Profil güncellendi,Perfil actualizado,technical,Technical fields,raw,column,timestamptz,timestamp (equals created_at),,,,,profiles,updated_at,,reference/profiles
consent_log_id,consent_log.id,Consent record id,Onay kaydı kimliği,Id del registro de consentimiento,technical,Technical fields,raw,column,uuid,generated,,,,,consent_log,id,,reference/consent-log
consent_log_user_id,consent_log.user_id,Student id,Öğrenci kimliği,Id del estudiante,technical,Technical fields,raw,column,uuid,profiles.id,,,,,consent_log,user_id,,reference/consent-log
consent_log_status,consent_log.status,Consent answer,Onay yanıtı,Respuesta de consentimiento,accounts,Accounts and consent,raw,column,text,granted | declined | withdrawn ('withdrawn' is never written),pending = Pending; granted = Granted; declined = Declined; withdrawn = Withdrawn,pending = Bekliyor; granted = Verildi; declined = Reddedildi; withdrawn = Geri çekildi,pending = Pendiente; granted = Otorgado; declined = Rechazado; withdrawn = Retirado,,consent_log,status,,data/accounts/consent-status
consent_log_version,consent_log.version,Consent text version,Onay metni sürümü,Versión del texto de consentimiento,accounts,Accounts and consent,raw,column,text,"CONSENT_TEXT_VERSION, currently '2026-08-v1'",,,,,consent_log,version,,data/accounts/consent-status
consent_log_created_at,consent_log.created_at,Consent answer time,Onay yanıtı zamanı,Momento de la respuesta de consentimiento,technical,Technical fields,raw,column,timestamptz,timestamp,,,,,consent_log,created_at,,reference/consent-log
coding_sessions_id,coding_sessions.id,Session id,Oturum kimliği,Id de la sesión,technical,Technical fields,raw,column,uuid,generated,,,,,coding_sessions,id,,reference/coding-sessions
coding_sessions_user_id,coding_sessions.user_id,Student id,Öğrenci kimliği,Id del estudiante,technical,Technical fields,raw,column,uuid,profiles.id,,,,,coding_sessions,user_id,,reference/coding-sessions
coding_sessions_course_id,coding_sessions.course_id,Course id (unused),Ders kimliği (kullanılmıyor),Id de la asignatura (sin uso),technical,Technical fields,raw,column,uuid,always null,,,,NULL (empty cell),coding_sessions,course_id,,reference/coding-sessions
coding_sessions_started_at,coding_sessions.started_at,Session start,Oturum başlangıcı,Inicio de la sesión,activity,Coding activity,raw,column,timestamptz,timestamp,,,,,coding_sessions,started_at,,data/activity/sessions
coding_sessions_last_seen_at,coding_sessions.last_seen_at,Last activity update,Son etkinlik güncellemesi,Última actualización de actividad,activity,Coding activity,raw,column,timestamptz,timestamp >= started_at,,,,,coding_sessions,last_seen_at,,data/activity/sessions
coding_sessions_ended_at,coding_sessions.ended_at,Session end,Oturum sonu,Fin de la sesión,technical,Technical fields,raw,column,timestamptz,always null,,,,NULL (empty cell),coding_sessions,ended_at,,reference/coding-sessions
coding_sessions_extension_version,coding_sessions.extension_version,Extension version,Eklenti sürümü,Versión de la extensión,technical,Technical fields,raw,column,text,"version from the extension manifest, e.g. '0.2.0'",,,,,coding_sessions,extension_version,,reference/coding-sessions
coding_sessions_vscode_version,coding_sessions.vscode_version,VS Code version,VS Code sürümü,Versión de VS Code,technical,Technical fields,raw,column,text,vscode.version,,,,,coding_sessions,vscode_version,,reference/coding-sessions
coding_sessions_os,coding_sessions.os,Operating system,İşletim sistemi,Sistema operativo,technical,Technical fields,raw,column,text,Node process.platform: darwin | win32 | linux | ...,,,,,coding_sessions,os,,reference/coding-sessions
coding_sessions_active_seconds,coding_sessions.active_seconds,Active coding time,Aktif kodlama süresi,Tiempo activo programando,activity,Coding activity,derived,column,integer,0 or more,,,,,coding_sessions,active_seconds,1.0,data/activity/active-time
coding_sessions_lines_written,coding_sessions.lines_written,Lines added,Eklenen satır,Líneas añadidas,activity,Coding activity,derived,column,integer,0 or more,,,,,coding_sessions,lines_written,1.0,data/activity/lines
coding_sessions_lines_deleted,coding_sessions.lines_deleted,Lines deleted,Silinen satır,Líneas borradas,activity,Coding activity,derived,column,integer,0 or more,,,,,coding_sessions,lines_deleted,1.0,data/activity/lines
